"","site_zone","year","mean.chla","min.chla","max.chla"
"1","LK1-I",2015,0.9212780461875,0.35767688,1.59115271666667
"2","LK1-I",2016,1.18315632124603,0.556462316666667,1.785381675
"3","LK1-I",2017,1.29883878088465,0.440841070083333,2.280639175
"4","LK1-I",2018,1.14071104716832,0.625800400833333,1.6399867625
"5","LK1-I",2019,0.4556383,0.4556383,0.4556383
"6","LK1-O",2015,0.399736839764911,0.266670399166667,0.6233718825
"7","LK1-O",2016,0.413643110235119,0.228652490416667,0.749381411666667
"8","LK1-O",2017,0.465191312394841,0.17664328875,0.870558956666667
"9","LK1-O",2018,0.41046077089445,0.192829808833333,0.818697789166667
"10","LK1-O",2019,0.38766932,0.38766932,0.38766932
"11","UK1-I",2015,0.985777455796537,0.492452633636364,1.57493486090909
"12","UK1-I",2016,1.40730497280303,0.783307205454545,2.10980340909091
"13","UK1-I",2017,1.12907955627116,0.521966758888889,2.15119934222222
"14","UK1-I",2018,1.23514366791667,0.996246474,1.68562183
"15","UK1-O",2015,0.564036195892196,0.234639455,1.15901255583333
"16","UK1-O",2016,0.792025149633929,0.325212184666667,1.4698242975
"17","UK1-O",2017,0.555573410885684,0.24898426375,1.18726046125
"18","UK1-O",2018,0.563281645844444,0.3612401875,1.08870542916667
"19","UK2-I",2015,2.21059691515152,2.08079616363636,2.32947663636364
"20","UK2-I",2016,2.131914575,2.006680975,2.266598875
"21","UK2-I",2017,2.3005928053824,1.88126548888889,2.70905816666667
"22","UK2-I",2018,1.61022608362302,0.874013341666667,2.22255540166667
"23","UK2-O",2015,0.592376564946403,0.228582171333333,1.18817733333333
"24","UK2-O",2016,0.567091696566468,0.199509625,1.12160795916667
"25","UK2-O",2017,0.680140830111402,0.189259819166667,1.4083192975
"26","UK2-O",2018,0.744488305133929,0.294331580833333,1.640022935
"27","UK2-O",2019,0.24027263,0.24027263,0.24027263
