"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"5","LK1","Offshore","2015","Spring","run1",0.05741,0.0358,0.1186,27.4526219178082,22.077,31.609,0.370256719375,0.11926947,1.2902554,24.495846,-81.648539,6.4,1
"916","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"917","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"918","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"919","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"921","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"922","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"923","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"924","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"925","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"943","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"1233","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1235","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1236","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1237","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1234","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
