"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"24","LK1","Offshore","2015","Spring","run1",0.05741,0.0358,0.1186,27.4526219178082,22.077,31.609,0.370256719375,0.11926947,1.2902554,24.495846,-81.648539,6.4,1
"25","LK1","Offshore","2015","Spring","run1",0.05741,0.0358,0.1186,27.4526219178082,22.077,31.609,0.370256719375,0.11926947,1.2902554,24.495846,-81.648539,6.4,1
"26","LK1","Offshore","2015","Spring","run1",0.05741,0.0358,0.1186,27.4526219178082,22.077,31.609,0.370256719375,0.11926947,1.2902554,24.495846,-81.648539,6.4,1
"27","LK1","Offshore","2015","Spring","run1",0.05741,0.0358,0.1186,27.4526219178082,22.077,31.609,0.370256719375,0.11926947,1.2902554,24.495846,-81.648539,6.4,1
"28","LK1","Offshore","2015","Spring","run1",0.05741,0.0358,0.1186,27.4526219178082,22.077,31.609,0.370256719375,0.11926947,1.2902554,24.495846,-81.648539,6.4,1
"29","LK1","Offshore","2015","Spring","run1",0.05741,0.0358,0.1186,27.4526219178082,22.077,31.609,0.370256719375,0.11926947,1.2902554,24.495846,-81.648539,6.4,1
"30","LK1","Offshore","2015","Spring","run1",0.05741,0.0358,0.1186,27.4526219178082,22.077,31.609,0.370256719375,0.11926947,1.2902554,24.495846,-81.648539,6.4,1
"926","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"927","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"928","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"929","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"930","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"931","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"932","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"933","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"934","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"935","LK1","Offshore","2017","Fall","run1",0.0672792792792793,0.0308,0.1516,27.0841369863014,22.761,31.558,0.5229837215,0.109024115,1.8128603,24.495846,-81.648539,6.4,1.33
"1221","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1222","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1223","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1225","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1226","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1227","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"1228","LK1","Offshore","2018","Fall","run2",0.0613933333333333,0.0286,0.1536,27.0457726027397,21.601,31.279,0.421269896177778,0.101550356,1.8465269,24.495846,-81.648539,6.4,1
"81","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"82","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"83","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"84","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"85","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"86","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"87","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"88","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"89","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"90","UK1","Inshore","2015","Spring","run1",0.102954716981132,0.0436,0.213,27.4519123287671,21.341,31.693,1.04649530169811,0.24516797,2.9044724,24.903837,-80.609678,3.05,1
"726","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"727","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"729","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"731","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"732","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"733","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"735","UK1","Inshore","2017","Fall","run1",0.110007547169811,0.0454,0.3702,27.0958794520548,22.845,31.495,1.17800942490566,0.24584928,5.552832,24.903837,-80.609678,3.05,1.67
"51","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
"52","UK1","Offshore","2015","Spring","run1",0.0742463414634146,0.0336,0.1578,27.463197260274,21.897,31.675,0.619673409634146,0.05462454,1.9517535,24.89525,-80.572613,5.49,1
