sample_num,full_site,site,zone,site_zone,sample,spp,year,sequencing,time,season
118,Carysfort,UK2,O,UK2-O,UK2-O_118,srad,2015,ITS2,Pre,Spring
119,Carysfort,UK2,O,UK2-O,UK2-O_119,srad,2015,ITS2,Pre,Spring
120,Carysfort,UK2,O,UK2-O,UK2-O_120,srad,2015,ITS2,Pre,Spring
121,Basin Hill,UK2,I,UK2-I,UK2-I_121,ssid,2015,ITS2,Pre,Spring
122,Basin Hill,UK2,I,UK2-I,UK2-I_122,ssid,2015,ITS2,Pre,Spring
123,Basin Hill,UK2,I,UK2-I,UK2-I_123,ssid,2015,ITS2,Pre,Spring
124,Basin Hill,UK2,I,UK2-I,UK2-I_124,ssid,2015,ITS2,Pre,Spring
125,Basin Hill,UK2,I,UK2-I,UK2-I_125,ssid,2015,ITS2,Pre,Spring
126,Basin Hill,UK2,I,UK2-I,UK2-I_126,ssid,2015,ITS2,Pre,Spring
127,Basin Hill,UK2,I,UK2-I,UK2-I_127,ssid,2015,ITS2,Pre,Spring
128,Basin Hill,UK2,I,UK2-I,UK2-I_128,ssid,2015,ITS2,Pre,Spring
129,Basin Hill,UK2,I,UK2-I,UK2-I_129,ssid,2015,ITS2,Pre,Spring
130,Basin Hill,UK2,I,UK2-I,UK2-I_130,ssid,2015,ITS2,Pre,Spring
143,Basin Hill,UK2,I,UK2-I,UK2-I_143,srad,2015,ITS2,Pre,Spring
144,Basin Hill,UK2,I,UK2-I,UK2-I_144,srad,2015,ITS2,Pre,Spring
145,Basin Hill,UK2,I,UK2-I,UK2-I_145,srad,2015,ITS2,Pre,Spring
147,Basin Hill,UK2,I,UK2-I,UK2-I_147,srad,2015,ITS2,Pre,Spring
148,Basin Hill,UK2,I,UK2-I,UK2-I_148,srad,2015,ITS2,Pre,Spring
149,Basin Hill,UK2,I,UK2-I,UK2-I_149,srad,2015,ITS2,Pre,Spring
150,Basin Hill,UK2,I,UK2-I,UK2-I_150,srad,2015,ITS2,Pre,Spring
701,Cheeca Rocks,UK1,I,UK1-I,UK1-I_701,ssid,2017,ITS2,Irma,Fall
702,Cheeca Rocks,UK1,I,UK1-I,UK1-I_702,ssid,2017,ITS2,Irma,Fall
703,Cheeca Rocks,UK1,I,UK1-I,UK1-I_703,ssid,2017,ITS2,Irma,Fall
704,Cheeca Rocks,UK1,I,UK1-I,UK1-I_704,ssid,2017,ITS2,Irma,Fall
705,Cheeca Rocks,UK1,I,UK1-I,UK1-I_705,ssid,2017,ITS2,Irma,Fall
706,Cheeca Rocks,UK1,I,UK1-I,UK1-I_706,ssid,2017,ITS2,Irma,Fall
707,Cheeca Rocks,UK1,I,UK1-I,UK1-I_707,ssid,2017,ITS2,Irma,Fall
708,Cheeca Rocks,UK1,I,UK1-I,UK1-I_708,ssid,2017,ITS2,Irma,Fall
709,Cheeca Rocks,UK1,I,UK1-I,UK1-I_709,ssid,2017,ITS2,Irma,Fall
710,Cheeca Rocks,UK1,I,UK1-I,UK1-I_710,ssid,2017,ITS2,Irma,Fall
711,Cheeca Rocks,UK1,I,UK1-I,UK1-I_711,ssid,2017,ITS2,Irma,Fall
725,Cheeca Rocks,UK1,I,UK1-I,UK1-I_725,ssid,2017,ITS2,Irma,Fall
726,Cheeca Rocks,UK1,I,UK1-I,UK1-I_726,srad,2017,ITS2,Irma,Fall
727,Cheeca Rocks,UK1,I,UK1-I,UK1-I_727,srad,2017,ITS2,Irma,Fall
731,Cheeca Rocks,UK1,I,UK1-I,UK1-I_731,srad,2017,ITS2,Irma,Fall
732,Cheeca Rocks,UK1,I,UK1-I,UK1-I_732,srad,2017,ITS2,Irma,Fall
733,Cheeca Rocks,UK1,I,UK1-I,UK1-I_733,srad,2017,ITS2,Irma,Fall
735,Cheeca Rocks,UK1,I,UK1-I,UK1-I_735,srad,2017,ITS2,Irma,Fall
761,Rocky Top,UK1,O,UK1-O,UK1-O_761,ssid,2017,ITS2,Irma,Fall
762,Rocky Top,UK1,O,UK1-O,UK1-O_762,ssid,2017,ITS2,Irma,Fall
763,Rocky Top,UK1,O,UK1-O,UK1-O_763,ssid,2017,ITS2,Irma,Fall
764,Rocky Top,UK1,O,UK1-O,UK1-O_764,ssid,2017,ITS2,Irma,Fall
765,Rocky Top,UK1,O,UK1-O,UK1-O_765,ssid,2017,ITS2,Irma,Fall
766,Rocky Top,UK1,O,UK1-O,UK1-O_766,ssid,2017,ITS2,Irma,Fall
767,Rocky Top,UK1,O,UK1-O,UK1-O_767,ssid,2017,ITS2,Irma,Fall
768,Rocky Top,UK1,O,UK1-O,UK1-O_768,ssid,2017,ITS2,Irma,Fall
769,Rocky Top,UK1,O,UK1-O,UK1-O_769,ssid,2017,ITS2,Irma,Fall
770,Rocky Top,UK1,O,UK1-O,UK1-O_770,ssid,2017,ITS2,Irma,Fall
771,Rocky Top,UK1,O,UK1-O,UK1-O_771,ssid,2017,ITS2,Irma,Fall
772,Rocky Top,UK1,O,UK1-O,UK1-O_772,ssid,2017,ITS2,Irma,Fall
783,Rocky Top,UK1,O,UK1-O,UK1-O_783,ssid,2017,ITS2,Irma,Fall
798,Carysfort,UK2,O,UK2-O,UK2-O_798,ssid,2017,ITS2,Irma,Fall
800,Carysfort,UK2,O,UK2-O,UK2-O_800,ssid,2017,ITS2,Irma,Fall
801,Basin Hill,UK2,I,UK2-I,UK2-I_801,ssid,2017,ITS2,Irma,Fall
807,Basin Hill,UK2,I,UK2-I,UK2-I_807,ssid,2017,ITS2,Irma,Fall
808,Basin Hill,UK2,I,UK2-I,UK2-I_808,ssid,2017,ITS2,Irma,Fall
809,Basin Hill,UK2,I,UK2-I,UK2-I_809,ssid,2017,ITS2,Irma,Fall
820,Carysfort,UK2,O,UK2-O,UK2-O_820,ssid,2017,ITS2,Irma,Fall
821,Basin Hill,UK2,I,UK2-I,UK2-I_821,ssid,2017,ITS2,Irma,Fall
822,Basin Hill,UK2,I,UK2-I,UK2-I_822,ssid,2017,ITS2,Irma,Fall
823,Basin Hill,UK2,I,UK2-I,UK2-I_823,ssid,2017,ITS2,Irma,Fall
824,Basin Hill,UK2,I,UK2-I,UK2-I_824,ssid,2017,ITS2,Irma,Fall
825,Basin Hill,UK2,I,UK2-I,UK2-I_825,ssid,2017,ITS2,Irma,Fall
826,Basin Hill,UK2,I,UK2-I,UK2-I_826,ssid,2017,ITS2,Irma,Fall
827,Basin Hill,UK2,I,UK2-I,UK2-I_827,ssid,2017,ITS2,Irma,Fall
828,Basin Hill,UK2,I,UK2-I,UK2-I_828,ssid,2017,ITS2,Irma,Fall
829,Basin Hill,UK2,I,UK2-I,UK2-I_829,ssid,2017,ITS2,Irma,Fall
830,Basin Hill,UK2,I,UK2-I,UK2-I_830,ssid,2017,ITS2,Irma,Fall
846,Basin Hill,UK2,I,UK2-I,UK2-I_846,srad,2017,ITS2,Irma,Fall
847,Basin Hill,UK2,I,UK2-I,UK2-I_847,srad,2017,ITS2,Irma,Fall
848,Basin Hill,UK2,I,UK2-I,UK2-I_848,srad,2017,ITS2,Irma,Fall
849,Basin Hill,UK2,I,UK2-I,UK2-I_849,srad,2017,ITS2,Irma,Fall
850,Basin Hill,UK2,I,UK2-I,UK2-I_850,srad,2017,ITS2,Irma,Fall
851,Basin Hill,UK2,I,UK2-I,UK2-I_851,srad,2017,ITS2,Irma,Fall
852,Basin Hill,UK2,I,UK2-I,UK2-I_852,srad,2017,ITS2,Irma,Fall
853,Basin Hill,UK2,I,UK2-I,UK2-I_853,srad,2017,ITS2,Irma,Fall
854,Basin Hill,UK2,I,UK2-I,UK2-I_854,srad,2017,ITS2,Irma,Fall
855,Basin Hill,UK2,I,UK2-I,UK2-I_855,srad,2017,ITS2,Irma,Fall
881,Carysfort,UK2,O,UK2-O,UK2-O_881,ssid,2017,ITS2,Irma,Fall
882,Carysfort,UK2,O,UK2-O,UK2-O_882,ssid,2017,ITS2,Irma,Fall
883,Carysfort,UK2,O,UK2-O,UK2-O_883,ssid,2017,ITS2,Irma,Fall
884,Carysfort,UK2,O,UK2-O,UK2-O_884,ssid,2017,ITS2,Irma,Fall
885,Carysfort,UK2,O,UK2-O,UK2-O_885,ssid,2017,ITS2,Irma,Fall
886,Carysfort,UK2,O,UK2-O,UK2-O_886,ssid,2017,ITS2,Irma,Fall
887,Carysfort,UK2,O,UK2-O,UK2-O_887,ssid,2017,ITS2,Irma,Fall
888,Carysfort,UK2,O,UK2-O,UK2-O_888,ssid,2017,ITS2,Irma,Fall
889,Carysfort,UK2,O,UK2-O,UK2-O_889,ssid,2017,ITS2,Irma,Fall
890,Carysfort,UK2,O,UK2-O,UK2-O_890,ssid,2017,ITS2,Irma,Fall
907,Carysfort,UK2,O,UK2-O,UK2-O_907,srad,2017,ITS2,Irma,Fall
908,Carysfort,UK2,O,UK2-O,UK2-O_908,srad,2017,ITS2,Irma,Fall
909,Carysfort,UK2,O,UK2-O,UK2-O_909,srad,2017,ITS2,Irma,Fall
912,Carysfort,UK2,O,UK2-O,UK2-O_912,srad,2017,ITS2,Irma,Fall
913,Carysfort,UK2,O,UK2-O,UK2-O_913,srad,2017,ITS2,Irma,Fall
914,Carysfort,UK2,O,UK2-O,UK2-O_914,srad,2017,ITS2,Irma,Fall
915,Carysfort,UK2,O,UK2-O,UK2-O_915,srad,2017,ITS2,Irma,Fall
916,E Sambo,LK1,O,LK1-O,LK1-O_916,ssid,2017,ITS2,Irma,Fall
917,E Sambo,LK1,O,LK1-O,LK1-O_917,ssid,2017,ITS2,Irma,Fall
919,E Sambo,LK1,O,LK1-O,LK1-O_919,ssid,2017,ITS2,Irma,Fall
921,E Sambo,LK1,O,LK1-O,LK1-O_921,ssid,2017,ITS2,Irma,Fall
922,E Sambo,LK1,O,LK1-O,LK1-O_922,ssid,2017,ITS2,Irma,Fall
923,E Sambo,LK1,O,LK1-O,LK1-O_923,ssid,2017,ITS2,Irma,Fall
925,E Sambo,LK1,O,LK1-O,LK1-O_925,ssid,2017,ITS2,Irma,Fall
926,E Sambo,LK1,O,LK1-O,LK1-O_926,srad,2017,ITS2,Irma,Fall
927,E Sambo,LK1,O,LK1-O,LK1-O_927,srad,2017,ITS2,Irma,Fall
928,E Sambo,LK1,O,LK1-O,LK1-O_928,srad,2017,ITS2,Irma,Fall
929,E Sambo,LK1,O,LK1-O,LK1-O_929,srad,2017,ITS2,Irma,Fall
931,E Sambo,LK1,O,LK1-O,LK1-O_931,srad,2017,ITS2,Irma,Fall
932,E Sambo,LK1,O,LK1-O,LK1-O_932,srad,2017,ITS2,Irma,Fall
935,E Sambo,LK1,O,LK1-O,LK1-O_935,srad,2017,ITS2,Irma,Fall
943,E Sambo,LK1,O,LK1-O,LK1-O_943,ssid,2017,ITS2,Irma,Fall
947,W Washer,LK1,I,LK1-I,LK1-I_947,ssid,2017,ITS2,Irma,Fall
948,W Washer,LK1,I,LK1-I,LK1-I_948,ssid,2017,ITS2,Irma,Fall
949,W Washer,LK1,I,LK1-I,LK1-I_949,ssid,2017,ITS2,Irma,Fall
950,W Washer,LK1,I,LK1-I,LK1-I_950,ssid,2017,ITS2,Irma,Fall
951,W Washer,LK1,I,LK1-I,LK1-I_951,ssid,2017,ITS2,Irma,Fall
955,W Washer,LK1,I,LK1-I,LK1-I_955,ssid,2017,ITS2,Irma,Fall
956,W Washer,LK1,I,LK1-I,LK1-I_956,srad,2017,ITS2,Irma,Fall
958,W Washer,LK1,I,LK1-I,LK1-I_958,srad,2017,ITS2,Irma,Fall
961,W Washer,LK1,I,LK1-I,LK1-I_961,srad,2017,ITS2,Irma,Fall
962,W Washer,LK1,I,LK1-I,LK1-I_962,srad,2017,ITS2,Irma,Fall
963,W Washer,LK1,I,LK1-I,LK1-I_963,srad,2017,ITS2,Irma,Fall
964,W Washer,LK1,I,LK1-I,LK1-I_964,srad,2017,ITS2,Irma,Fall
965,W Washer,LK1,I,LK1-I,LK1-I_965,ssid,2017,ITS2,Irma,Fall
976,W Washer,LK1,I,LK1-I,LK1-I_976,srad,2017,ITS2,Irma,Fall
977,W Washer,LK1,I,LK1-I,LK1-I_977,ssid,2016,ITS2,Pre,Spring
978,W Washer,LK1,I,LK1-I,LK1-I_978,ssid,2016,ITS2,Pre,Spring
979,W Washer,LK1,I,LK1-I,LK1-I_979,ssid,2016,ITS2,Pre,Spring
980,W Washer,LK1,I,LK1-I,LK1-I_980,ssid,2016,ITS2,Pre,Spring
981,W Washer,LK1,I,LK1-I,LK1-I_981,ssid,2016,ITS2,Pre,Spring
982,W Washer,LK1,I,LK1-I,LK1-I_982,ssid,2016,ITS2,Pre,Spring
983,W Washer,LK1,I,LK1-I,LK1-I_983,ssid,2016,ITS2,Pre,Spring
984,W Washer,LK1,I,LK1-I,LK1-I_984,ssid,2016,ITS2,Pre,Spring
985,W Washer,LK1,I,LK1-I,LK1-I_985,ssid,2016,ITS2,Pre,Spring
986,W Washer,LK1,I,LK1-I,LK1-I_986,ssid,2016,ITS2,Pre,Spring
988,W Washer,LK1,I,LK1-I,LK1-I_988,srad,2016,ITS2,Pre,Spring
990,W Washer,LK1,I,LK1-I,LK1-I_990,srad,2016,ITS2,Pre,Spring
992,W Washer,LK1,I,LK1-I,LK1-I_992,srad,2016,ITS2,Pre,Spring
993,W Washer,LK1,I,LK1-I,LK1-I_993,srad,2016,ITS2,Pre,Spring
994,W Washer,LK1,I,LK1-I,LK1-I_994,srad,2016,ITS2,Pre,Spring
995,W Washer,LK1,I,LK1-I,LK1-I_995,srad,2016,ITS2,Pre,Spring
996,W Washer,LK1,I,LK1-I,LK1-I_996,srad,2016,ITS2,Pre,Spring
1007,Fowey Rocks,UK3,O,UK3-O,UK3-O_1007,ssid,2016,ITS2,Pre,Spring
1008,Fowey Rocks,UK3,O,UK3-O,UK3-O_1008,ssid,2016,ITS2,Pre,Spring
1009,Fowey Rocks,UK3,O,UK3-O,UK3-O_1009,ssid,2016,ITS2,Pre,Spring
1010,Fowey Rocks,UK3,O,UK3-O,UK3-O_1010,ssid,2016,ITS2,Pre,Spring
1011,Fowey Rocks,UK3,O,UK3-O,UK3-O_1011,ssid,2016,ITS2,Pre,Spring
1013,Fowey Rocks,UK3,O,UK3-O,UK3-O_1013,ssid,2016,ITS2,Pre,Spring
1014,Fowey Rocks,UK3,O,UK3-O,UK3-O_1014,ssid,2016,ITS2,Pre,Spring
1015,Fowey Rocks,UK3,O,UK3-O,UK3-O_1015,ssid,2016,ITS2,Pre,Spring
1016,Fowey Rocks,UK3,O,UK3-O,UK3-O_1016,ssid,2016,ITS2,Pre,Spring
1017,Fowey Rocks,UK3,O,UK3-O,UK3-O_1017,srad,2016,ITS2,Pre,Spring
1018,Fowey Rocks,UK3,O,UK3-O,UK3-O_1018,srad,2016,ITS2,Pre,Spring
1019,Fowey Rocks,UK3,O,UK3-O,UK3-O_1019,srad,2016,ITS2,Pre,Spring
1020,Fowey Rocks,UK3,O,UK3-O,UK3-O_1020,srad,2016,ITS2,Pre,Spring
1022,Fowey Rocks,UK3,O,UK3-O,UK3-O_1022,srad,2016,ITS2,Pre,Spring
1023,Fowey Rocks,UK3,O,UK3-O,UK3-O_1023,srad,2016,ITS2,Pre,Spring
1024,Fowey Rocks,UK3,O,UK3-O,UK3-O_1024,srad,2016,ITS2,Pre,Spring
