sample_num,full_site,site,zone,site_zone,sample,spp,year,time,season,seq_run
96,Carysfort,UK2,Offshore,UK2-O,UK2-O_96,ssid,2015,Pre,Spring,run1
97,Carysfort,UK2,Offshore,UK2-O,UK2-O_97,ssid,2015,Pre,Spring,run1
98,Carysfort,UK2,Offshore,UK2-O,UK2-O_98,ssid,2015,Pre,Spring,run1
99,Carysfort,UK2,Offshore,UK2-O,UK2-O_99,ssid,2015,Pre,Spring,run1
100,Carysfort,UK2,Offshore,UK2-O,UK2-O_100,ssid,2015,Pre,Spring,run1
111,Carysfort,UK2,Offshore,UK2-O,UK2-O_111,srad,2015,Pre,Spring,run1
112,Carysfort,UK2,Offshore,UK2-O,UK2-O_112,srad,2015,Pre,Spring,run1
113,Carysfort,UK2,Offshore,UK2-O,UK2-O_113,srad,2015,Pre,Spring,run1
114,Carysfort,UK2,Offshore,UK2-O,UK2-O_114,srad,2015,Pre,Spring,run1
115,Carysfort,UK2,Offshore,UK2-O,UK2-O_115,srad,2015,Pre,Spring,run1
116,Carysfort,UK2,Offshore,UK2-O,UK2-O_116,srad,2015,Pre,Spring,run1
117,Carysfort,UK2,Offshore,UK2-O,UK2-O_117,srad,2015,Pre,Spring,run1
118,Carysfort,UK2,Offshore,UK2-O,UK2-O_118,srad,2015,Pre,Spring,run1
119,Carysfort,UK2,Offshore,UK2-O,UK2-O_119,srad,2015,Pre,Spring,run1
120,Carysfort,UK2,Offshore,UK2-O,UK2-O_120,srad,2015,Pre,Spring,run1
121,Basin Hill,UK2,Inshore,UK2-I,UK2-I_121,ssid,2015,Pre,Spring,run1
122,Basin Hill,UK2,Inshore,UK2-I,UK2-I_122,ssid,2015,Pre,Spring,run1
123,Basin Hill,UK2,Inshore,UK2-I,UK2-I_123,ssid,2015,Pre,Spring,run1
124,Basin Hill,UK2,Inshore,UK2-I,UK2-I_124,ssid,2015,Pre,Spring,run1
125,Basin Hill,UK2,Inshore,UK2-I,UK2-I_125,ssid,2015,Pre,Spring,run1
126,Basin Hill,UK2,Inshore,UK2-I,UK2-I_126,ssid,2015,Pre,Spring,run1
127,Basin Hill,UK2,Inshore,UK2-I,UK2-I_127,ssid,2015,Pre,Spring,run1
128,Basin Hill,UK2,Inshore,UK2-I,UK2-I_128,ssid,2015,Pre,Spring,run1
129,Basin Hill,UK2,Inshore,UK2-I,UK2-I_129,ssid,2015,Pre,Spring,run1
130,Basin Hill,UK2,Inshore,UK2-I,UK2-I_130,ssid,2015,Pre,Spring,run1
141,Basin Hill,UK2,Inshore,UK2-I,UK2-I_141,srad,2015,Pre,Spring,run1
143,Basin Hill,UK2,Inshore,UK2-I,UK2-I_143,srad,2015,Pre,Spring,run1
144,Basin Hill,UK2,Inshore,UK2-I,UK2-I_144,srad,2015,Pre,Spring,run1
145,Basin Hill,UK2,Inshore,UK2-I,UK2-I_145,srad,2015,Pre,Spring,run1
147,Basin Hill,UK2,Inshore,UK2-I,UK2-I_147,srad,2015,Pre,Spring,run1
148,Basin Hill,UK2,Inshore,UK2-I,UK2-I_148,srad,2015,Pre,Spring,run1
149,Basin Hill,UK2,Inshore,UK2-I,UK2-I_149,srad,2015,Pre,Spring,run1
150,Basin Hill,UK2,Inshore,UK2-I,UK2-I_150,srad,2015,Pre,Spring,run1
701,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_701,ssid,2017,Irma,Fall,run1
702,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_702,ssid,2017,Irma,Fall,run1
703,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_703,ssid,2017,Irma,Fall,run1
704,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_704,ssid,2017,Irma,Fall,run1
705,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_705,ssid,2017,Irma,Fall,run1
706,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_706,ssid,2017,Irma,Fall,run1
707,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_707,ssid,2017,Irma,Fall,run1
