sample_num,full_site,site,zone,site_zone,sample,spp,year,time,season,seq_run
1075,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1075,srad,2018,Post,Fall,run2
1076,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1076,srad,2018,Post,Fall,run2
1077,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1077,srad,2018,Post,Fall,run2
1078,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1078,srad,2018,Post,Fall,run2
1079,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1079,srad,2018,Post,Fall,run2
1080,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1080,ssid,2018,Post,Fall,run2
1081,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1081,ssid,2018,Post,Fall,run2
1082,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1082,ssid,2018,Post,Fall,run2
1083,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1083,ssid,2018,Post,Fall,run2
1084,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1084,ssid,2018,Post,Fall,run2
1085,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1085,ssid,2018,Post,Fall,run2
1086,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1086,ssid,2018,Post,Fall,run2
1088,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1088,ssid,2018,Post,Fall,run2
1089,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1089,ssid,2018,Post,Fall,run2
1100,Carysfort,UK2,Offshore,UK2-O,UK2-O_1100,srad,2018,Post,Fall,run2
1101,Carysfort,UK2,Offshore,UK2-O,UK2-O_1101,srad,2018,Post,Fall,run2
1102,Carysfort,UK2,Offshore,UK2-O,UK2-O_1102,srad,2018,Post,Fall,run2
1103,Carysfort,UK2,Offshore,UK2-O,UK2-O_1103,srad,2018,Post,Fall,run2
1106,Carysfort,UK2,Offshore,UK2-O,UK2-O_1106,srad,2018,Post,Fall,run2
1108,Carysfort,UK2,Offshore,UK2-O,UK2-O_1108,srad,2018,Post,Fall,run2
1109,Carysfort,UK2,Offshore,UK2-O,UK2-O_1109,srad,2018,Post,Fall,run2
1110,Carysfort,UK2,Offshore,UK2-O,UK2-O_1110,ssid,2018,Post,Fall,run2
1111,Carysfort,UK2,Offshore,UK2-O,UK2-O_1111,ssid,2018,Post,Fall,run2
1112,Carysfort,UK2,Offshore,UK2-O,UK2-O_1112,ssid,2018,Post,Fall,run2
1113,Carysfort,UK2,Offshore,UK2-O,UK2-O_1113,ssid,2018,Post,Fall,run2
1114,Carysfort,UK2,Offshore,UK2-O,UK2-O_1114,ssid,2018,Post,Fall,run2
1115,Carysfort,UK2,Offshore,UK2-O,UK2-O_1115,ssid,2018,Post,Fall,run2
1116,Carysfort,UK2,Offshore,UK2-O,UK2-O_1116,ssid,2018,Post,Fall,run2
1117,Carysfort,UK2,Offshore,UK2-O,UK2-O_1117,ssid,2018,Post,Fall,run2
1118,Carysfort,UK2,Offshore,UK2-O,UK2-O_1118,ssid,2018,Post,Fall,run2
1119,Carysfort,UK2,Offshore,UK2-O,UK2-O_1119,ssid,2018,Post,Fall,run2
1140,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_1140,ssid,2018,Post,Fall,run2
1141,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_1141,ssid,2018,Post,Fall,run2
1142,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_1142,ssid,2018,Post,Fall,run2
1143,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_1143,ssid,2018,Post,Fall,run2
1144,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_1144,ssid,2018,Post,Fall,run2
1145,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_1145,ssid,2018,Post,Fall,run2
1146,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_1146,ssid,2018,Post,Fall,run2
1147,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_1147,ssid,2018,Post,Fall,run2
1149,Cheeca Rocks,UK1,Inshore,UK1-I,UK1-I_1149,ssid,2018,Post,Fall,run2
1170,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1170,ssid,2018,Post,Fall,run2
1171,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1171,ssid,2018,Post,Fall,run2
1172,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1172,ssid,2018,Post,Fall,run2
1173,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1173,ssid,2018,Post,Fall,run2
1174,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1174,ssid,2018,Post,Fall,run2
1175,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1175,ssid,2018,Post,Fall,run2
1176,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1176,ssid,2018,Post,Fall,run2
1177,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1177,ssid,2018,Post,Fall,run2
1178,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1178,ssid,2018,Post,Fall,run2
1179,Rocky Top,UK1,Offshore,UK1-O,UK1-O_1179,ssid,2018,Post,Fall,run2
1190,W Washer,LK1,Inshore,LK1-I,LK1-I_1190,srad,2018,Post,Fall,run2
1191,W Washer,LK1,Inshore,LK1-I,LK1-I_1191,srad,2018,Post,Fall,run2
1192,W Washer,LK1,Inshore,LK1-I,LK1-I_1192,srad,2018,Post,Fall,run2
1193,W Washer,LK1,Inshore,LK1-I,LK1-I_1193,srad,2018,Post,Fall,run2
1194,W Washer,LK1,Inshore,LK1-I,LK1-I_1194,srad,2018,Post,Fall,run2
1196,W Washer,LK1,Inshore,LK1-I,LK1-I_1196,srad,2018,Post,Fall,run2
1197,W Washer,LK1,Inshore,LK1-I,LK1-I_1197,srad,2018,Post,Fall,run2
1198,W Washer,LK1,Inshore,LK1-I,LK1-I_1198,srad,2018,Post,Fall,run2
1199,W Washer,LK1,Inshore,LK1-I,LK1-I_1199,srad,2018,Post,Fall,run2
1200,W Washer,LK1,Inshore,LK1-I,LK1-I_1200,ssid,2018,Post,Fall,run2
1201,W Washer,LK1,Inshore,LK1-I,LK1-I_1201,ssid,2018,Post,Fall,run2
1202,W Washer,LK1,Inshore,LK1-I,LK1-I_1202,ssid,2018,Post,Fall,run2
1203,W Washer,LK1,Inshore,LK1-I,LK1-I_1203,ssid,2018,Post,Fall,run2
1204,W Washer,LK1,Inshore,LK1-I,LK1-I_1204,ssid,2018,Post,Fall,run2
1205,W Washer,LK1,Inshore,LK1-I,LK1-I_1205,ssid,2018,Post,Fall,run2
1206,W Washer,LK1,Inshore,LK1-I,LK1-I_1206,ssid,2018,Post,Fall,run2
1207,W Washer,LK1,Inshore,LK1-I,LK1-I_1207,ssid,2018,Post,Fall,run2
1208,W Washer,LK1,Inshore,LK1-I,LK1-I_1208,ssid,2018,Post,Fall,run2
1209,W Washer,LK1,Inshore,LK1-I,LK1-I_1209,ssid,2018,Post,Fall,run2
1221,E Sambo,LK1,Offshore,LK1-O,LK1-O_1221,srad,2018,Post,Fall,run2
1222,E Sambo,LK1,Offshore,LK1-O,LK1-O_1222,srad,2018,Post,Fall,run2
1223,E Sambo,LK1,Offshore,LK1-O,LK1-O_1223,srad,2018,Post,Fall,run2
1225,E Sambo,LK1,Offshore,LK1-O,LK1-O_1225,srad,2018,Post,Fall,run2
1226,E Sambo,LK1,Offshore,LK1-O,LK1-O_1226,srad,2018,Post,Fall,run2
1227,E Sambo,LK1,Offshore,LK1-O,LK1-O_1227,srad,2018,Post,Fall,run2
1228,E Sambo,LK1,Offshore,LK1-O,LK1-O_1228,srad,2018,Post,Fall,run2
1230,E Sambo,LK1,Offshore,LK1-O,LK1-O_1230,ssid,2018,Post,Fall,run2
1231,E Sambo,LK1,Offshore,LK1-O,LK1-O_1231,ssid,2018,Post,Fall,run2
1232,E Sambo,LK1,Offshore,LK1-O,LK1-O_1232,ssid,2018,Post,Fall,run2
1233,E Sambo,LK1,Offshore,LK1-O,LK1-O_1233,ssid,2018,Post,Fall,run2
1234,E Sambo,LK1,Offshore,LK1-O,LK1-O_1234,ssid,2018,Post,Fall,run2
1235,E Sambo,LK1,Offshore,LK1-O,LK1-O_1235,ssid,2018,Post,Fall,run2
1236,E Sambo,LK1,Offshore,LK1-O,LK1-O_1236,ssid,2018,Post,Fall,run2
1237,E Sambo,LK1,Offshore,LK1-O,LK1-O_1237,ssid,2018,Post,Fall,run2
1238,E Sambo,LK1,Offshore,LK1-O,LK1-O_1238,ssid,2018,Post,Fall,run2
1250,cores,FA,E,FALSE,FALSE_1250,cores,2018,Post,Fall,run2
1251,cores,FA,E,FALSE,FALSE_1251,cores,2018,Post,Fall,run2
1252,cores,FA,E,FALSE,FALSE_1252,cores,2018,Post,Fall,run2
1253,cores,FA,E,FALSE,FALSE_1253,cores,2018,Post,Fall,run2
1254,cores,FA,E,FALSE,FALSE_1254,cores,2018,Post,Fall,run2
neg,neg,FA,E,FALSE,FALSE_neg,neg control,2018,Post,Fall,run2
neg1,neg,FA,E,FALSE,FALSE_neg1,neg control,other,other,other,other
neg2,neg,FA,E,FALSE,FALSE_neg2,neg control,other,other,other,other
neg3,neg,FA,E,FALSE,FALSE_neg3,neg control,other,other,other,other
neg4,neg,FA,E,FALSE,FALSE_neg4,neg control,other,other,other,other
neg5,neg,FA,E,FALSE,FALSE_neg5,neg control,other,other,other,other
