,input,filtered,denoised,merged,tabled,nonchim
887,30460,25146,25044,24863,23995,23995
888,90369,80246,80186,79880,79780,79746
889,62911,58723,58304,55791,55275,54491
890,63592,57956,57799,57325,56970,56903
906,160491,145504,142251,132334,130314,129836
907,83141,77907,76329,73766,71548,70912
908,59753,55519,54757,52279,51999,51940
909,150599,135842,134690,131485,128268,128255
910,40139,38421,35265,27998,26379,26224
912,91372,85316,84195,81490,78896,78896
913,104227,92833,92569,92092,92046,91997
914,77867,74260,73918,73244,73238,73238
915,47580,42835,42710,42525,42522,42472
91,121176,89757,89641,89239,88892,88758
92,30792,28354,28211,27934,27894,27825
93,62885,56694,55553,53496,53400,53378
94,136638,114827,114734,113883,113799,113755
95,47849,43995,43901,43696,43558,43558
96,52962,46726,46651,46437,46388,46360
97,65579,53838,53785,53596,53520,53510
98,28059,24685,24653,24559,24469,24375
99,140490,127190,126976,126038,125920,125688
1037,37274,30689,30629,30569,29737,29737
1038,96809,75434,75021,74848,74010,73637
1039,30516,26477,26448,26426,26256,26256
1040,36548,29797,29721,29683,28956,28956
1041,126726,93777,93565,92426,88108,88108
1042,46671,38622,38536,38331,37296,37294
1043,39330,33036,33007,32806,32774,32774
1044,33206,25861,25840,25802,25617,25617
1045,52504,42553,42479,42293,40614,40602
1046,48518,34082,34060,33940,33261,33261
1047,49968,43827,41274,34903,34770,34648
1048,48228,44673,43363,41261,41122,41113
1049,26819,23893,22345,20095,20071,20071
1050,51186,41328,39911,36394,36339,36315
1051,32201,28471,27833,26494,24616,24606
1052,27852,26030,25224,23697,23609,23609
1053,53440,47085,45976,42549,42487,42393
1054,27789,26143,25670,24320,24214,24199
1055,20286,18778,17556,15148,15095,15091
1056,50641,45482,45182,44054,43825,43825
1007,55833,41638,40408,40281,40082,40082
1008,39367,33249,33182,33114,32596,32596
1009,33008,27841,27631,27235,26794,26794
1010,81942,69067,68761,68008,67057,67025
1011,42798,39900,39211,37909,37714,37644
1012,26955,18992,18966,18900,18790,18790
1013,67218,41183,41142,39333,39096,39096
1014,41966,37040,36976,36798,36686,36686
1015,29782,24243,24184,24067,23860,23860
1016,76080,59827,59497,58020,55289,55138
1017,45431,36279,35836,34879,33266,33266
1018,32805,25079,24824,24210,23706,23704
1019,71591,54258,53590,51570,50667,50667
1020,29937,26079,25451,24468,23468,23468
1021,78827,72708,71712,68836,68774,68274
1022,109815,88045,87789,87056,84404,84317
1023,74957,66302,65826,64384,63229,63202
1024,51621,39279,39008,38516,37638,37606
1025,69864,60251,59094,56543,56295,56258
1026,38206,35807,34577,32706,31136,31136
