,input,filtered,denoised,merged,tabled,nonchim
126,49981,49288,49262,49061,47965,47965
127,28882,28272,28232,28147,27991,27979
128,75826,74204,74158,74002,73237,73184
129,26872,26516,26447,26289,25078,25050
130,23985,23067,22989,22868,22487,22401
141,152524,147119,146594,144490,142582,142021
143,36439,35773,34508,31749,31580,31580
144,32926,32321,31879,30687,30348,30348
145,120359,116653,115589,111400,110658,110575
147,46541,45865,43723,39713,39590,39583
148,24673,24118,22156,18932,18924,18924
149,65612,63859,60352,51382,51311,51293
150,16897,16647,16245,15566,15498,15475
801,49967,49104,48937,48795,47773,47714
808,44924,43971,43887,43573,43472,43311
809,80097,78110,77857,77102,76992,76684
821,33538,33034,32946,32376,29693,29652
822,37210,35898,35824,35553,35501,35363
823,95384,92069,91859,91107,84270,84097
824,70548,68655,67615,57486,35904,35866
825,27571,25492,25385,25172,23826,23826
826,58416,54708,54580,54334,54103,54081
827,8903,8760,8207,7565,7395,7348
829,29291,28657,28623,28482,27999,27999
830,60727,59073,58959,58680,58060,57605
846,30034,29496,29478,29451,29451,29451
847,61150,60094,58220,54333,54234,54231
848,76708,74719,74564,74239,73180,73170
850,10189,10056,9959,9709,9401,9401
851,35761,35350,35172,34381,28482,28482
852,110144,107926,107747,107101,106087,105954
853,43908,43416,43067,42169,42085,40887
854,23411,22898,22847,22304,21868,21868
855,73083,71703,71555,71258,71161,71080
100,49569,47467,47401,47267,46003,45990
111,78360,77423,74292,67561,67349,67348
112,62343,61155,60063,56297,56028,55246
113,145237,140389,138535,132411,132178,131850
114,42133,41659,40085,36271,36053,36010
115,108108,106568,103370,95260,94706,94505
116,59596,58284,56131,50883,50573,50563
117,54689,54106,52500,48716,48458,48441
118,69229,68003,65380,59406,58608,58561
119,116120,113673,113139,111121,110833,110619
120,56547,55863,55423,53926,53230,53209
798,106521,104792,104269,102457,102448,102403
800,76435,75659,74651,71327,70242,70206
820,74851,73937,73818,72533,71460,71115
883,22880,22411,22202,21779,20565,20561
884,45133,44286,44054,43314,32689,32682
885,104406,101549,101419,100914,97088,96805
886,38676,38077,38058,37954,37897,37842
887,30477,29780,29630,29378,26707,26707
888,90395,88491,88405,88114,87357,87326
889,62919,62178,61661,58938,57844,56442
890,63614,62533,62380,61612,60538,60458
906,160512,157378,153844,140828,138542,137956
907,83162,82228,80478,75709,73465,72635
908,59769,58914,58124,55585,54908,54783
909,150629,147478,146166,141250,136994,136977
91,121259,114719,114581,113917,112654,112389
910,40141,39688,36542,28441,26752,26146
912,91390,89929,88704,85532,82669,82591
913,104248,101915,101593,100977,100844,100789
914,77879,77017,76585,75859,75765,75765
915,47584,46592,46447,46255,46203,46094
92,30801,30310,30195,29579,29224,29151
93,62894,61631,60344,58200,57265,57235
94,136664,132113,132016,131742,131035,130990
95,47854,47202,47109,46961,45591,45581
96,52976,51661,51125,50890,50190,50160
97,65594,63139,63049,62896,62416,62393
98,28067,27518,27450,27365,25984,25882
99,140509,137584,137311,135103,134134,133727
1037,37292,36186,36140,36044,34077,34077
1038,96876,92360,92192,91967,90556,90078
1039,30533,29812,29776,29743,28534,28528
1040,36572,35507,35416,35370,32884,32884
1041,126788,121249,121014,120308,106925,106916
1042,46699,45707,45605,44637,40381,40340
1043,39350,38209,38156,38080,37877,37853
1044,33220,31868,31839,31795,31446,31446
1045,52534,51412,51358,50125,44266,44236
1046,48539,46583,46509,46368,43449,43274
1047,49988,48707,46073,38644,38457,38325
1048,48247,47548,46287,43931,42746,42738
1049,26829,26237,24667,21767,21647,21647
1050,51197,49339,47765,43412,43180,43161
1051,32213,31526,30805,29355,27070,27058
1052,27857,27458,26557,24914,24803,24798
1053,53463,52070,50868,47297,47158,47036
1054,27798,27225,26815,25328,25053,25035
1055,20294,19968,18718,16135,16018,16014
1056,50659,49508,49161,47347,47012,46991
1007,55862,53048,52926,52790,51954,51954
1008,39384,38532,38460,38337,35158,35158
1009,33029,32133,31957,31574,30157,30157
1010,81975,79332,79049,78397,76737,76682
1011,42813,42353,41636,40229,39300,39240
1012,26967,25679,25640,25567,25167,25158
1013,67261,62568,62510,62393,61345,61345
1014,41984,41137,41045,40835,40029,40027
1015,29801,28872,28796,28721,27514,27514
1016,76121,72759,72511,70840,65359,65041
1017,45459,44647,44108,41607,35131,35131
1018,32822,31568,31278,30570,28729,28687
1019,71644,68229,67541,64828,62380,62380
1020,29950,29330,28664,27527,25349,25349
1021,78838,77431,76404,73410,72950,71822
1022,109885,106153,105905,105378,97265,97077
1023,74997,73816,73307,70906,66269,66182
1024,51648,50556,50269,47598,43526,43494
1025,69887,67882,66756,63146,62534,62532
1026,38223,37748,36405,34318,32131,32131
