"","sample_num","Observed","Shannon","InvSimpson","full_site","site","zone","site_zone","sample","spp","year","time","season","seq_run","lib_size","is.neg","even"
"36","112",421,4.45546198338128,36.1638423205118,"Carysfort","UK2","Offshore","UK2-O","UK2-O_112","srad","2015","Pre","Spring","run1",45136,FALSE,0.737337863479969
"37","113",1012,5.75160083477126,36.5188739913012,"Carysfort","UK2","Offshore","UK2-O","UK2-O_113","srad","2015","Pre","Spring","run1",88061,FALSE,0.831194164296695
"38","114",692,5.02893166567804,28.8854522607225,"Carysfort","UK2","Offshore","UK2-O","UK2-O_114","srad","2015","Pre","Spring","run1",29634,FALSE,0.768998480914233
"39","1140",372,4.78310547340305,46.2461279129588,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1140","ssid","2018","Post","Fall","run2",44832,FALSE,0.80810799976585
"40","1141",227,3.87873246168101,21.066582367096,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1141","ssid","2018","Post","Fall","run2",21473,FALSE,0.714980313031853
"41","1142",136,3.47849937508297,12.5209076932013,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1142","ssid","2018","Post","Fall","run2",13550,FALSE,0.708069151200266
"42","1144",236,4.73310545698949,41.3723274455697,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1144","ssid","2018","Post","Fall","run2",10558,FALSE,0.866261192856632
"43","1147",84,3.35571649168529,13.9957664876754,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1147","ssid","2018","Post","Fall","run2",8034,FALSE,0.75735843841734
"44","115",1131,6.20566824654371,177.477757521276,"Carysfort","UK2","Offshore","UK2-O","UK2-O_115","srad","2015","Pre","Spring","run1",74753,FALSE,0.882633201942213
"45","116",709,5.86467597622156,188.6413358932,"Carysfort","UK2","Offshore","UK2-O","UK2-O_116","srad","2015","Pre","Spring","run1",38430,FALSE,0.89348035655502
"46","117",845,5.64307450885827,98.3353970189828,"Carysfort","UK2","Offshore","UK2-O","UK2-O_117","srad","2015","Pre","Spring","run1",40388,FALSE,0.837333823918393
"47","1170",52,0.735439222122876,1.27467822294469,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1170","ssid","2018","Post","Fall","run2",23423,FALSE,0.18612853939238
"48","1172",46,0.448332681779733,1.13671186520023,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1172","ssid","2018","Post","Fall","run2",28474,FALSE,0.117099679847493
"49","1173",379,4.93747821794,70.8013540235278,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1173","ssid","2018","Post","Fall","run2",29454,FALSE,0.831570208146874
"50","1174",112,1.35414044670127,1.59025560620619,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1174","ssid","2018","Post","Fall","run2",28806,FALSE,0.286985434062337
"51","1175",131,2.01446323208913,2.50017782329844,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1175","ssid","2018","Post","Fall","run2",28238,FALSE,0.413206501919884
"52","1177",217,4.53686929894989,42.5911551527737,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1177","ssid","2018","Post","Fall","run2",7248,FALSE,0.843300345863332
"53","1178",86,3.25581126224382,16.4149321878754,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1178","ssid","2018","Post","Fall","run2",11224,FALSE,0.730928920828028
"54","1179",187,3.47773358966025,8.64844373046168,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1179","ssid","2018","Post","Fall","run2",15910,FALSE,0.664817698194035
"55","118",757,5.72297228342427,118.286373409783,"Carysfort","UK2","Offshore","UK2-O","UK2-O_118","srad","2015","Pre","Spring","run1",41749,FALSE,0.863276315482757
"56","119",580,4.43508968342894,20.3079111931439,"Carysfort","UK2","Offshore","UK2-O","UK2-O_119","srad","2015","Pre","Spring","run1",87581,FALSE,0.697009287285907
